schedule_period_name,schedule_period_start_date,schedule_period_end_date,stop_number,route_number,route_name,day_type,time_period,average_boardings,average_alightings,location
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,14.4,64.4,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,2,Downtown Spirit,Saturday,Afternoon,2.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Afternoon,17.3,8.4,POINT (-97.1388667306942 49.8961855953002)
Summer 2020,08/02/2020 12:00:00 AM,09/05/2020 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Night,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,21,Portage Express,Saturday,Morning,19.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Afternoon,4.0,4.4,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,1.7,0.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Morning,1.8,0.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,67,Charleswood Express,Weekday,PM Peak,9.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,1.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2022,09/04/2022 12:00:00 AM,12/10/2022 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,5.0,0.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2017,12/17/2017 12:00:00 AM,04/07/2018 12:00:00 AM,10637,28,Brookside Express,Weekday,Morning,43.8,4.2,POINT (-97.1388667306942 49.8961855953002)
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Night,1.0,1.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2019,04/07/2019 12:00:00 AM,06/15/2019 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Morning,1.5,1.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,40,All Seasons Express,Weekday,Mid-Day,0.0,3.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Afternoon,45.2,31.3,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,21,Portage Express,Weekday,Morning,32.1,0.1,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Night,1.7,0.5,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,22,Assiniboia Express,Weekday,PM Peak,26.8,0.7,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,22,Assiniboia Express,Weekday,Mid-Day,5.4,0.1,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,8.1,19.4,POINT (-97.1388667306942 49.8961855953002)
Fall 2021,09/05/2021 12:00:00 AM,12/11/2021 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Afternoon,32.5,5.4,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,22,Assiniboia Express,Weekday,PM Peak,35.8,0.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Night,16.5,0.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,21,Portage Express,Saturday,Afternoon,46.2,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Mid-Day,53.3,64.1,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Evening,0.0,4.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,2,Downtown Spirit,Weekday,PM Peak,0.0,0.4,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,24,Ness Express,Saturday,Morning,11.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,2,Downtown Spirit,Sunday,Afternoon,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Mid-Day,13.6,12.9,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Morning,0.0,1.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Evening,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,34.0,0.2,POINT (-97.1388667306942 49.8961855953002)
Fall 2021,09/05/2021 12:00:00 AM,12/11/2021 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,37.6,1.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Night,1.5,1.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,24,Ness Express,Weekday,PM Peak,17.9,0.1,POINT (-97.1388667306942 49.8961855953002)
Winter 2017,12/17/2017 12:00:00 AM,04/07/2018 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Night,0.5,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Mid-Day,37.2,74.9,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,25.7,21.7,POINT (-97.1388667306942 49.8961855953002)
Spring 2019,04/07/2019 12:00:00 AM,06/15/2019 12:00:00 AM,10637,22,Assiniboia Express,Weekday,Morning,24.4,0.6,POINT (-97.1388667306942 49.8961855953002)
Spring 2019,04/07/2019 12:00:00 AM,06/15/2019 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,11.4,0.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Night,2.1,2.1,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,50.2,0.2,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,21,Portage Express,Saturday,Morning,31.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,15.6,70.6,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,24,Ness Express,Saturday,Morning,0.5,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Night,2.9,0.4,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,22,Assiniboia Express,Weekday,Morning,5.1,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,41,Henderson Express,Weekday,Morning,0.5,14.5,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,25,Ness Super Express,Weekday,PM Peak,9.9,0.1,POINT (-97.1388667306942 49.8961855953002)
Fall 2022,09/04/2022 12:00:00 AM,12/10/2022 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Evening,11.5,0.7,POINT (-97.1388667306942 49.8961855953002)
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,24,Ness Express,Weekday,Mid-Day,39.0,0.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Evening,8.4,8.8,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Morning,3.0,8.5,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,0.0,2.7,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,2,Downtown Spirit,Sunday,Afternoon,4.5,1.5,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Morning,2.7,3.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,28,Brookside Express,Weekday,Morning,37.5,0.5,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Mid-Day,18.1,34.2,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,58.1,0.1,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,4.1,3.1,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Night,0.8,2.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,5.6,1.9,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,12.9,0.3,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Night,2.3,0.8,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Morning,12.5,4.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2021,09/05/2021 12:00:00 AM,12/11/2021 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Night,3.2,0.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,6.5,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2017,12/17/2017 12:00:00 AM,04/07/2018 12:00:00 AM,10637,21,Portage Express,Saturday,Morning,21.7,0.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Afternoon,6.0,8.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,24,Ness Express,Saturday,Afternoon,16.2,0.7,POINT (-97.1388667306942 49.8961855953002)
Summer 2018,06/17/2018 12:00:00 AM,09/01/2018 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,19.8,13.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,22,Assiniboia Express,Weekday,Morning,23.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,22,Assiniboia Express,Weekday,PM Peak,93.6,0.5,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,22,Assiniboia Express,Weekday,PM Peak,93.1,1.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,8.4,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,22,Assiniboia Express,Weekday,PM Peak,132.8,0.6,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Mid-Day,13.9,29.6,POINT (-97.1388667306942 49.8961855953002)
Summer 2020,08/02/2020 12:00:00 AM,09/05/2020 12:00:00 AM,10637,2,Downtown Spirit,Saturday,Afternoon,3.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Night,4.3,0.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Mid-Day,26.6,24.4,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Evening,1.7,1.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2022,04/17/2022 12:00:00 AM,06/18/2022 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,15.1,35.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2022,04/17/2022 12:00:00 AM,06/18/2022 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,10.2,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2022,09/04/2022 12:00:00 AM,12/10/2022 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Evening,24.5,6.3,POINT (-97.1388667306942 49.8961855953002)
Fall 2022,09/04/2022 12:00:00 AM,12/10/2022 12:00:00 AM,10637,24,Ness Express,Weekday,Morning,23.3,0.2,POINT (-97.1388667306942 49.8961855953002)
Winter 2017,12/17/2017 12:00:00 AM,04/07/2018 12:00:00 AM,10637,21,Portage Express,Saturday,Afternoon,32.5,0.3,POINT (-97.1388667306942 49.8961855953002)
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Afternoon,26.8,13.8,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,20.9,18.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,24,Ness Express,Weekday,Mid-Day,38.3,0.5,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,19.3,14.6,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,22,Assiniboia Express,Weekday,Morning,6.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,24,Ness Express,Saturday,Afternoon,8.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Morning,2.6,3.2,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Evening,10.8,2.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Afternoon,17.0,2.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Night,4.2,2.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,25,Ness Super Express,Weekday,PM Peak,10.0,0.1,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Night,4.0,1.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Night,0.5,2.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2017,12/17/2017 12:00:00 AM,04/07/2018 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Morning,5.0,2.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2017,12/17/2017 12:00:00 AM,04/07/2018 12:00:00 AM,10637,40,All Seasons Express,Weekday,Morning,4.4,50.7,POINT (-97.1388667306942 49.8961855953002)
Spring 2018,04/08/2018 12:00:00 AM,06/16/2018 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Night,0.5,3.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,24,Ness Express,Saturday,Afternoon,22.2,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2019,04/07/2019 12:00:00 AM,06/15/2019 12:00:00 AM,10637,24,Ness Express,Weekday,PM Peak,43.2,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Evening,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Mid-Day,5.6,12.3,POINT (-97.1388667306942 49.8961855953002)
Summer 2020,08/02/2020 12:00:00 AM,09/05/2020 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Morning,6.3,1.8,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Mid-Day,24.8,23.7,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Morning,12.7,2.8,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Night,1.0,0.5,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,21,Portage Express,Saturday,Afternoon,19.8,0.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Afternoon,6.6,6.8,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,21,Portage Express,Weekday,Morning,60.4,0.3,POINT (-97.1388667306942 49.8961855953002)
Fall 2018,09/02/2018 12:00:00 AM,12/15/2018 12:00:00 AM,10637,21,Portage Express,Saturday,Morning,14.5,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2018,12/16/2018 12:00:00 AM,04/06/2019 12:00:00 AM,10637,21,Portage Express,Weekday,PM Peak,56.4,0.9,POINT (-97.1388667306942 49.8961855953002)
Spring 2019,04/07/2019 12:00:00 AM,06/15/2019 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Evening,31.6,4.9,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Night,1.0,0.5,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,0.0,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Night,0.5,0.5,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,41,Henderson Express,Weekday,Morning,1.0,13.5,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,10.1,9.2,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Afternoon,26.1,2.9,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,5.7,0.2,POINT (-97.1388667306942 49.8961855953002)
Winter 2021,12/12/2021 12:00:00 AM,04/16/2022 12:00:00 AM,10637,24,Ness Express,Weekday,Evening,0.7,0.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2022,04/17/2022 12:00:00 AM,06/18/2022 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Afternoon,44.8,22.7,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,28,Brookside Express,Weekday,Morning,40.3,0.0,POINT (-97.1388667306942 49.8961855953002)
Summer 2022,06/19/2022 12:00:00 AM,09/03/2022 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,2.0,1.0,POINT (-97.1388667306942 49.8961855953002)
Spring 2019,04/07/2019 12:00:00 AM,06/15/2019 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,15.3,70.9,POINT (-97.1388667306942 49.8961855953002)
Summer 2019,06/16/2019 12:00:00 AM,08/31/2019 12:00:00 AM,10637,11,Portage-Kildonan,Saturday,Night,10.5,2.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2019,09/01/2019 12:00:00 AM,12/14/2019 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Afternoon,9.3,21.3,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Night,1.8,1.1,POINT (-97.1388667306942 49.8961855953002)
Winter 2019,12/15/2019 12:00:00 AM,04/11/2020 12:00:00 AM,10637,2,Downtown Spirit,Saturday,Afternoon,12.0,3.5,POINT (-97.1388667306942 49.8961855953002)
Spring 2020,04/12/2020 12:00:00 AM,05/02/2020 12:00:00 AM,10637,15,Sargent-Mountain,Weekday,Evening,1.4,0.6,POINT (-97.1388667306942 49.8961855953002)
Spring 2020 Special,05/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,10637,22,Assiniboia Express,Weekday,PM Peak,17.6,0.7,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,21,Portage Express,Weekday,Morning,25.8,0.0,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Morning,10.3,19.4,POINT (-97.1388667306942 49.8961855953002)
Winter 2020,12/13/2020 12:00:00 AM,04/17/2021 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Evening,1.0,0.8,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,21,Portage Express,Weekday,Mid-Day,41.1,1.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,15,Sargent-Mountain,Saturday,Night,1.5,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2020,09/06/2020 12:00:00 AM,12/12/2020 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Evening,7.3,1.9,POINT (-97.1388667306942 49.8961855953002)
Spring 2021,04/18/2021 12:00:00 AM,06/19/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,Evening,10.8,6.9,POINT (-97.1388667306942 49.8961855953002)
Summer 2021,06/20/2021 12:00:00 AM,09/04/2021 12:00:00 AM,10637,15,Sargent-Mountain,Sunday,Night,0.3,1.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2021,09/05/2021 12:00:00 AM,12/11/2021 12:00:00 AM,10637,11,Portage-Kildonan,Weekday,PM Peak,15.8,13.3,POINT (-97.1388667306942 49.8961855953002)
Fall 2021,09/05/2021 12:00:00 AM,12/11/2021 12:00:00 AM,10637,67,Charleswood Express,Weekday,Morning,5.1,0.0,POINT (-97.1388667306942 49.8961855953002)
Fall 2021,09/05/2021 12:00:00 AM,12/11/2021 12:00:00 AM,10637,67,Charleswood Express,Weekday,PM Peak,8.8,0.1,POINT (-97.1388667306942 49.8961855953002)
Spring 2022,04/17/2022 12:00:00 AM,06/18/2022 12:00:00 AM,10637,11,Portage-Kildonan,Sunday,Evening,9.0,1.5,POINT (-97.1388667306942 49.8961855953002)
Spring 2022,04/17/2022 12:00:00 AM,06/18/2022 12:00:00 AM,10637,25,Ness Super Express,Weekday,Mid-Day,1.8,0.0,POINT (-97.1388667306942 49.8961855953002)
